Year,Median Household Income,Median Household Income Margin of Error,County,ID Geography,Slug County
2019,63158,4128.0,Calaveras County,05000US06009,calaveras-county-ca
2019,59401,4265.0,Colusa County,05000US06011,colusa-county-ca
2019,99716,1157.0,Contra Costa County,05000US06013,contra-costa-county-ca
2019,45283,5017.0,Del Norte County,05000US06015,del-norte-county-ca
2019,83377,2342.0,El Dorado County,05000US06017,el-dorado-county-ca
2019,53969,794.0,Fresno County,05000US06019,fresno-county-ca
2019,49633,2854.0,Glenn County,05000US06021,glenn-county-ca
2019,48041,1797.9999999999998,Humboldt County,05000US06023,humboldt-county-ca
2019,47622,1761.0,Imperial County,05000US06025,imperial-county-ca
2019,57316,4087.0,Inyo County,05000US06027,inyo-county-ca
2019,53350,909.0,Kern County,05000US06029,kern-county-ca
2019,57848,1714.0,Kings County,05000US06031,kings-county-ca
2019,47040,2697.0,Lake County,05000US06033,lake-county-ca
2019,56352,2090.0,Lassen County,05000US06035,lassen-county-ca
2019,68044,347.0,Los Angeles County,05000US06037,los-angeles-county-ca
2019,57585,2351.0,Madera County,05000US06039,madera-county-ca
2019,115246,3328.0,Marin County,05000US06041,marin-county-ca
2019,48820,4413.0,Mariposa County,05000US06043,mariposa-county-ca
2019,51416,2038.0,Mendocino County,05000US06045,mendocino-county-ca
2019,53672,1936.0,Merced County,05000US06047,merced-county-ca
2019,45507,5925.0,Modoc County,05000US06049,modoc-county-ca
2019,62260,6457.0,Mono County,05000US06051,mono-county-ca
2019,71015,1262.0,Monterey County,05000US06053,monterey-county-ca
2019,88596,2026.0,Napa County,05000US06055,napa-county-ca
2019,66096,3314.0,Nevada County,05000US06057,nevada-county-ca
2019,90234,540.0,Orange County,05000US06059,orange-county-ca
2019,89691,1824.0,Placer County,05000US06061,placer-county-ca
2019,55359,4650.0,Plumas County,05000US06063,plumas-county-ca
2019,67005,638.0,Riverside County,05000US06065,riverside-county-ca
2019,67151,802.0,Sacramento County,05000US06067,sacramento-county-ca
2019,86958,4946.0,San Benito County,05000US06069,san-benito-county-ca
2019,63362,581.0,San Bernardino County,05000US06071,san-bernardino-county-ca
2019,78980,723.0,San Diego County,05000US06073,san-diego-county-ca
2019,112449,1612.0,San Francisco County,05000US06075,san-francisco-county-ca
2019,64432,745.0,San Joaquin County,05000US06077,san-joaquin-county-ca
2019,73518,1656.0,San Luis Obispo County,05000US06079,san-luis-obispo-county-ca
2019,122641,1680.0,San Mateo County,05000US06081,san-mateo-county-ca
2019,74624,1710.0000000000002,Santa Barbara County,05000US06083,santa-barbara-county-ca
2019,124055,1117.0,Santa Clara County,05000US06085,santa-clara-county-ca
2019,82234,2168.0,Santa Cruz County,05000US06087,santa-cruz-county-ca
2019,54667,1486.0,Shasta County,05000US06089,shasta-county-ca
2019,52148,13874.0,Sierra County,05000US06091,sierra-county-ca
2019,45241,2380.0,Siskiyou County,05000US06093,siskiyou-county-ca
2019,81472,1384.0,Solano County,05000US06095,solano-county-ca
2019,81018,1194.0,Sonoma County,05000US06097,sonoma-county-ca
2019,60704,1045.0,Stanislaus County,05000US06099,stanislaus-county-ca
2019,59050,2491.0,Sutter County,05000US06101,sutter-county-ca
2019,44514,2916.0,Tehama County,05000US06103,tehama-county-ca
2019,40846,3837.0,Trinity County,05000US06105,trinity-county-ca
2019,49687,1171.0,Tulare County,05000US06107,tulare-county-ca
2019,60108,4605.0,Tuolumne County,05000US06109,tuolumne-county-ca
2019,88131,1069.0,Ventura County,05000US06111,ventura-county-ca
2019,70228,1616.0,Yolo County,05000US06113,yolo-county-ca
2019,58054,2384.0,Yuba County,05000US06115,yuba-county-ca
2018,92574,1023.0,Alameda County,05000US06001,alameda-county-ca
2018,64688,12933.0,Alpine County,05000US06003,alpine-county-ca
2018,61198,3241.0,Amador County,05000US06005,amador-county-ca
2018,48443,1477.0,Butte County,05000US06007,butte-county-ca
2018,58151,3310.0,Calaveras County,05000US06009,calaveras-county-ca
2018,56704,4501.0,Colusa County,05000US06011,colusa-county-ca
2018,93712,926.0,Contra Costa County,05000US06013,contra-costa-county-ca
2018,45258,5035.0,Del Norte County,05000US06015,del-norte-county-ca
2018,80582,2117.0,El Dorado County,05000US06017,el-dorado-county-ca
