County,Percent_of_Adults_with_Bachelors_or_Higher,Year,area_fips,Bachelor_Degree_Quartile
Mariposa County,23.4,2018,6043,Upper Middle Education Percentage
Mendocino County,24.7,2018,6045,Upper Middle Education Percentage
Merced County,14.0,2018,6047,Low Education Percentage
Modoc County,15.9,2018,6049,Low Education Percentage
Mono County,30.6,2018,6051,Upper Middle Education Percentage
Monterey County,24.5,2018,6053,Upper Middle Education Percentage
Napa County,34.9,2018,6055,High Education Percentage
Nevada County,36.6,2018,6057,High Education Percentage
Orange County,39.9,2018,6059,High Education Percentage
Placer County,38.6,2018,6061,High Education Percentage
Plumas County,23.5,2018,6063,Upper Middle Education Percentage
Riverside County,21.8,2018,6065,Lower Middle Education Percentage
Sacramento County,30.4,2018,6067,Upper Middle Education Percentage
San Benito County,19.7,2018,6069,Lower Middle Education Percentage
San Bernardino County,20.3,2018,6071,Lower Middle Education Percentage
San Diego County,38.1,2018,6073,High Education Percentage
San Francisco County,57.1,2018,6075,High Education Percentage
San Joaquin County,18.4,2018,6077,Lower Middle Education Percentage
San Luis Obispo County,34.6,2018,6079,High Education Percentage
San Mateo County,49.9,2018,6081,High Education Percentage
Santa Barbara County,33.8,2018,6083,Upper Middle Education Percentage
Santa Clara County,51.3,2018,6085,High Education Percentage
Santa Cruz County,40.0,2018,6087,High Education Percentage
Shasta County,22.2,2018,6089,Lower Middle Education Percentage
Sierra County,18.7,2018,6091,Lower Middle Education Percentage
Siskiyou County,22.5,2018,6093,Lower Middle Education Percentage
Solano County,26.2,2018,6095,Upper Middle Education Percentage
Sonoma County,34.9,2018,6097,High Education Percentage
Stanislaus County,16.9,2018,6099,Low Education Percentage
Sutter County,17.7,2018,6101,Low Education Percentage
Tehama County,15.5,2018,6103,Low Education Percentage
Trinity County,19.7,2018,6105,Lower Middle Education Percentage
Tulare County,14.3,2018,6107,Low Education Percentage
Tuolumne County,20.0,2018,6109,Lower Middle Education Percentage
Ventura County,33.1,2018,6111,Upper Middle Education Percentage
Yolo County,41.6,2018,6113,High Education Percentage
Yuba County,16.7,2018,6115,Low Education Percentage
Alameda County,44.7,2017,6001,High Education Percentage
Alpine County,25.6,2017,6003,Upper Middle Education Percentage
Amador County,22.1,2017,6005,Lower Middle Education Percentage
Butte County,26.6,2017,6007,Upper Middle Education Percentage
Calaveras County,19.3,2017,6009,Lower Middle Education Percentage
Colusa County,15.7,2017,6011,Low Education Percentage
Contra Costa County,40.7,2017,6013,High Education Percentage
Del Norte County,14.4,2017,6015,Low Education Percentage
El Dorado County,33.3,2017,6017,Upper Middle Education Percentage
Fresno County,20.1,2017,6019,Lower Middle Education Percentage
Glenn County,13.0,2017,6021,Low Education Percentage
Humboldt County,29.4,2017,6023,Upper Middle Education Percentage
Imperial County,14.3,2017,6025,Low Education Percentage
Inyo County,25.3,2017,6027,Upper Middle Education Percentage
Kern County,15.8,2017,6029,Low Education Percentage
Kings County,13.0,2017,6031,Low Education Percentage
Lake County,15.3,2017,6033,Low Education Percentage
Lassen County,12.4,2017,6035,Low Education Percentage
