ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2,"Black",2023,"2023",92825,32117.999999999996,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
2,"Black",2023,"2023",89599,34396,"Shasta County, CA","05000US06089","shasta-county-ca"
2,"Black",2023,"2023",39335,9281,"Siskiyou County, CA","05000US06093","siskiyou-county-ca"
2,"Black",2023,"2023",75211,5094,"Solano County, CA","05000US06095","solano-county-ca"
2,"Black",2023,"2023",92500,19218,"Sonoma County, CA","05000US06097","sonoma-county-ca"
2,"Black",2023,"2023",64082,11242,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
2,"Black",2023,"2023",59226,30030,"Sutter County, CA","05000US06101","sutter-county-ca"
2,"Black",2023,"2023",61105,12885,"Tulare County, CA","05000US06107","tulare-county-ca"
2,"Black",2023,"2023",38587,21215,"Tuolumne County, CA","05000US06109","tuolumne-county-ca"
2,"Black",2023,"2023",107713,10199,"Ventura County, CA","05000US06111","ventura-county-ca"
2,"Black",2023,"2023",43648,8859,"Yolo County, CA","05000US06113","yolo-county-ca"
2,"Black",2023,"2023",59260,26451,"Yuba County, CA","05000US06115","yuba-county-ca"
3,"Native American",2023,"2023",100266,9041,"Alameda County, CA","05000US06001","alameda-county-ca"
3,"Native American",2023,"2023",63750,7883,"Alpine County, CA","05000US06003","alpine-county-ca"
3,"Native American",2023,"2023",92917,47864,"Amador County, CA","05000US06005","amador-county-ca"
3,"Native American",2023,"2023",74175,10983,"Butte County, CA","05000US06007","butte-county-ca"
3,"Native American",2023,"2023",86000,39878,"Calaveras County, CA","05000US06009","calaveras-county-ca"
3,"Native American",2023,"2023",93333,66405,"Colusa County, CA","05000US06011","colusa-county-ca"
3,"Native American",2023,"2023",97222,21478,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
3,"Native American",2023,"2023",50238,16309,"Del Norte County, CA","05000US06015","del-norte-county-ca"
3,"Native American",2023,"2023",102045,38625,"El Dorado County, CA","05000US06017","el-dorado-county-ca"
3,"Native American",2023,"2023",63992,9738,"Fresno County, CA","05000US06019","fresno-county-ca"
3,"Native American",2023,"2023",51250,13675.999999999998,"Humboldt County, CA","05000US06023","humboldt-county-ca"
3,"Native American",2023,"2023",59583,24388,"Imperial County, CA","05000US06025","imperial-county-ca"
3,"Native American",2023,"2023",39727,7818,"Inyo County, CA","05000US06027","inyo-county-ca"
3,"Native American",2023,"2023",60375,10317,"Kern County, CA","05000US06029","kern-county-ca"
3,"Native American",2023,"2023",40917,40688,"Kings County, CA","05000US06031","kings-county-ca"
3,"Native American",2023,"2023",37574,18508,"Lake County, CA","05000US06033","lake-county-ca"
3,"Native American",2023,"2023",47667,19980,"Lassen County, CA","05000US06035","lassen-county-ca"
3,"Native American",2023,"2023",80324,3710,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
3,"Native American",2023,"2023",73125,12502,"Madera County, CA","05000US06039","madera-county-ca"
3,"Native American",2023,"2023",60455,52123,"Marin County, CA","05000US06041","marin-county-ca"
3,"Native American",2023,"2023",80156,65908,"Mariposa County, CA","05000US06043","mariposa-county-ca"
3,"Native American",2023,"2023",52500,14136,"Mendocino County, CA","05000US06045","mendocino-county-ca"
3,"Native American",2023,"2023",82044,11604,"Merced County, CA","05000US06047","merced-county-ca"
3,"Native American",2023,"2023",25035,11821,"Mono County, CA","05000US06051","mono-county-ca"
3,"Native American",2023,"2023",92361,14097,"Monterey County, CA","05000US06053","monterey-county-ca"
3,"Native American",2023,"2023",122656,89538,"Napa County, CA","05000US06055","napa-county-ca"
3,"Native American",2023,"2023",90357,65537,"Nevada County, CA","05000US06057","nevada-county-ca"
3,"Native American",2023,"2023",86778,5417,"Orange County, CA","05000US06059","orange-county-ca"
3,"Native American",2023,"2023",116603,11099,"Placer County, CA","05000US06061","placer-county-ca"
3,"Native American",2023,"2023",91988,7362,"Riverside County, CA","05000US06065","riverside-county-ca"
3,"Native American",2023,"2023",80760,11534,"Sacramento County, CA","05000US06067","sacramento-county-ca"
3,"Native American",2023,"2023",140972,70485,"San Benito County, CA","05000US06069","san-benito-county-ca"
3,"Native American",2023,"2023",78080,5282,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
3,"Native American",2023,"2023",77536,5642,"San Diego County, CA","05000US06073","san-diego-county-ca"
3,"Native American",2023,"2023",52109,8978,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
3,"Native American",2023,"2023",75771,10328,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
